formula,image
"t = t ( v ^ { 1 } , \sigma ) , \ \; \; \; \; v ^ { 2 } = v ^ { 2 } ( v ^ { 1 } , \sigma )",24a71b16bf.png
"\hat { \Pi } _ { a } ( p ^ { 2 } = 4 m ^ { 2 } ) = - 2 \int _ { 1 } ^ { \infty } \! \! d x \, \frac { 1 } { x ^ { 2 } } = - 2 \, .",11860dc624.png
T _ { 2 } = c _ { + + } J _ { n } ^ { + } J _ { n } ^ { + } + c _ { + 0 } J _ { n } ^ { + } J _ { n } ^ { 0 } + c _ { 0 0 } J _ { n } ^ { 0 } J _ { n } ^ { 0 } + c _ { 0 - } J _ { n } ^ { 0 } J _ { n } ^ { - } + c _ { -- } J _ { n } ^ { - } J _ { n } ^ { - } +,a4972e013f.png
"w _ { 5 } = \sum _ { k = 6 } ^ { j } w _ { k } - \sum _ { k = i } ^ { 4 } w _ { k } - 1 0 + i + j , ~ ~ ~ 1 \leq i \leq 5 , ~ ~ ~ 5 \leq j \leq 6 .",2701409764.png
"\tilde { m } _ { 0 } = \int _ { K 3 \times S ^ { 1 } \times S ^ { 2 } } H _ { 7 } ,",411207396f.png
\pi _ { a } = \frac { \partial { \cal L } } { \partial \stackrel { . . } { \psi } ^ { a } },7f4d565f87.png
C = \left( \begin{array} { c c c c } { q } & { 0 } & { 0 } & { 0 } \\ { 0 } & { 0 } & { 1 } & { 0 } \\ { 0 } & { 1 } & { 0 } & { 0 } \\ { 0 } & { 0 } & { 0 } & { q ^ { - 1 } } \\ \end{array} \right) \nonumber,677b55ad2e.png
"H _ { \mu \nu \rho } [ \xi | s ] = \delta _ { \mu } ( s ) T _ { \nu \rho } [ \xi | s ] + \delta _ { \nu } ( s ) T _ { \rho \mu } [ \xi | s ] + \delta _ { \rho } ( s ) T _ { \mu \nu } [ \xi | s ] ,",40bb737359.png
\sum _ { i = 1 } ^ { n + 1 } | z _ { i } | ^ { 2 } - n | z _ { n + 1 } | ^ { 2 } = r,3fda70afb1.png
"[ I _ { + } , I _ { - } ] = 2 I _ { 3 } ( - 1 ) ^ { I _ { 3 } + p } , \quad [ I _ { 3 } , I _ { \pm } ] = \pm I _ { \pm }",36a0becb38.png
"\frac { l \nu } { \pi } = n + \frac { 1 } { 2 } - \zeta _ { + } \pm \lambda , \qquad \operatorname { s i n } \pi \lambda = \operatorname { c o s } \pi | g | \, \operatorname { s i n } \pi \zeta _ { - } ,",5c8d7e6a4d.png
"\delta { \cal { V } } _ { n } = ( - ) ^ { n } [ \ Q + { \cal { A } } \ , \ { \cal { V } } _ { n + 1 } \ ] _ { ( - ) ^ { n + 1 } } , \qquad n = 0 , 1 , 2 , \cdots",3fd520614c.png
"B ( b , g ) = Z _ { 0 } + Z _ { 1 } \delta \left( 1 + \delta ^ { b } \right) + O ( \delta ^ { 2 } ) .",32870fc8c3.png
\gamma _ { \Omega R } = I \; \; \; \mathrm { o r } \; \; \; \gamma _ { \Omega R } = \left( \begin{array} { c c } { 0 } & { i I } \\ { - i I } & { 0 } \\ \end{array} \right) .,46c5cb55a2.png
P ^ { \mu } P _ { \mu } \equiv P _ { + } P _ { - } - \vec { P } _ { \perp } ^ { 2 },5c2c2eb8ec.png
{ \cal L } _ { 1 } = - \frac { g ^ { \prime } } { 2 } \lceil i Y ^ { ( f ) } B ^ { \mu } J _ { \mu } ^ { ( f ) } \rfloor .,767d513aab.png
"\beta ( \kappa ) = { \frac { d \kappa } { d \operatorname { l n } ( 1 / a ) } } \; ,",5bcb3ea9d3.png
"\Phi _ { \xi } ( s _ { 2 } , s _ { 1 } ) = P \operatorname { e x p } i g \int _ { s _ { 1 } } ^ { s _ { 2 } } d s ^ { \prime } A _ { \mu } ( \xi ( s ^ { \prime } ) ) \dot { \xi } ^ { \mu } ( s ^ { \prime } ) ,",58b665e9eb.png
"\frac { { \partial } ^ { 2 } \psi } { \partial u _ { \mu } ^ { 2 } } + \frac { 2 M } { \hbar ^ { 2 } } \left( E - \frac { M \omega ^ { 2 } u ^ { 2 } } { 2 } \right) \psi = 0 ,",63ec5913e6.png
a = \frac { D - 4 - 2 p } { \sqrt { D - 2 } } ~ ~ .,7717599380.png
"{ \tilde { A } } _ { \mu } \, = { \tilde { A } } _ { \mu } [ A _ { \mu } \, , g \, ] \, = \, P _ { - } \, A _ { \mu } \, + \, P _ { + } \, B _ { \mu }",7f253c0df9.png
